metric,benchmark,profile,method,fastest,slowest,successes
migration_time_ms,TCP Client (CRIU),TEE Avg,Post-copy,"\shortstack[l]{direct / 52\,487\\C/T/R/O: 715/18\,176/1\,965/31\,631}","\shortstack[l]{host / 120\,064\\C/T/R/O: 730/101\,051/3\,589/14\,694}",68/80
migration_time_ms,TCP Client (CRIU),TEE Worst,Cold,"\shortstack[l]{direct / 181\,831\\C/T/R/O: 340/166\,317/327/14\,847}","\shortstack[l]{host / 1\,044\,545\\C/T/R/O: 348/1\,030\,581/338/13\,278}",52/60
migration_time_ms,TCP Client (CRIU),TEE Worst,Pre-copy,"\shortstack[l]{direct / 786\,074\\C/T/R/O: 656/207\,932/314/577\,172\\P: 561\,668}","\shortstack[l]{host / 2\,958\,912\\C/T/R/O: 651/756\,998/336/2\,200\,927\\P: 2\,187\,234}",34/60
migration_time_ms,TCP Client (CRIU),TEE Worst,Post-copy,"\shortstack[l]{direct / 193\,101\\C/T/R/O: 782/163\,250/12\,366/16\,703}","\shortstack[l]{host / 805\,563\\C/T/R/O: 745/763\,638/25\,898/15\,282}",24/60
migration_time_ms,Game of Life (CRIU),WiFi 6,Cold,"\shortstack[l]{host / 13\,355\\C/T/R/O: 338/4\,603/313/8\,101}","\shortstack[l]{direct / 14\,601\\C/T/R/O: 361/3\,593/335/10\,312}",80/80
migration_time_ms,Game of Life (CRIU),WiFi 6,Pre-copy,"\shortstack[l]{direct / 33\,530\\C/T/R/O: 310/2\,652/370/30\,198\\P: 20\,091}","\shortstack[l]{host / 45\,869\\C/T/R/O: 401/3\,998/420/41\,050\\P: 32\,812}",80/80
migration_time_ms,Game of Life (CRIU),WiFi 6,Post-copy,"\shortstack[l]{host / 17\,194\\C/T/R/O: 999/5\,021/319/10\,855}","\shortstack[l]{direct / 21\,444\\C/T/R/O: 1\,010/1\,547/332/18\,555}",80/80
migration_time_ms,Game of Life (CRIU),5G,Cold,"\shortstack[l]{host / 14\,100\\C/T/R/O: 349/5\,490/315/7\,946}","\shortstack[l]{host / 16\,007\\C/T/R/O: 353/6\,837/322/8\,495}",80/80
migration_time_ms,Game of Life (CRIU),5G,Pre-copy,"\shortstack[l]{direct / 34\,990\\C/T/R/O: 310/3\,004/339/31\,337\\P: 21\,441}","\shortstack[l]{host / 51\,559\\C/T/R/O: 370/4\,522/325/46\,342\\P: 38\,323}",79/80
migration_time_ms,Game of Life (CRIU),5G,Post-copy,"\shortstack[l]{host / 22\,719\\C/T/R/O: 983/3\,095/352/18\,289}","\shortstack[l]{direct / 27\,047\\C/T/R/O: 1\,142/1\,723/415/23\,767}",80/80
migration_time_ms,Game of Life (CRIU),LTE,Cold,"\shortstack[l]{direct / 18\,209\\C/T/R/O: 349/6\,928/326/10\,606}","\shortstack[l]{host / 42\,405\\C/T/R/O: 358/33\,574/343/8\,130}",80/80
migration_time_ms,Game of Life (CRIU),LTE,Pre-copy,"\shortstack[l]{direct / 49\,039\\C/T/R/O: 361/5\,553/375/42\,750\\P: 31\,863}","\shortstack[l]{host / 88\,575\\C/T/R/O: 319/8\,976/393/78\,887\\P: 70\,719}",79/80
migration_time_ms,Game of Life (CRIU),LTE,Post-copy,--,--,0/80
